Plot Title: cedar_light_pendant,,,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 20733886, SEN S/N: 20733886)","Intensity, Lux (LGR S/N: 20733886, SEN S/N: 20733886)",End Of File (LGR S/N: 20733886)
308,7/30/2020 13:00,25.319,31689.1,
309,7/30/2020 14:00,25.319,66133.8,
310,7/30/2020 15:00,25.513,20666.8,
311,7/30/2020 16:00,25.902,28933.5,
312,7/30/2020 17:00,25.902,20666.8,
313,7/30/2020 18:00,25.61,12400.1,
314,7/30/2020 19:00,24.738,1377.8,
315,7/30/2020 20:00,24.641,721.2,
316,7/30/2020 21:00,24.448,0,
317,7/30/2020 22:00,24.158,0,
318,7/30/2020 23:00,23.966,0,
319,7/31/2020 0:00,23.773,0,
320,7/31/2020 1:00,23.581,0,
321,7/31/2020 2:00,23.484,0,
322,7/31/2020 3:00,23.292,0,
323,7/31/2020 4:00,23.1,0,
324,7/31/2020 5:00,22.908,0,
325,7/31/2020 6:00,22.717,96.9,
326,7/31/2020 7:00,22.621,1076.4,
327,7/31/2020 8:00,22.908,8266.7,
328,7/31/2020 9:00,23.292,18600.1,
329,7/31/2020 10:00,23.773,28933.5,
330,7/31/2020 11:00,24.255,12400.1,
331,7/31/2020 12:00,24.641,42711.4,
332,7/31/2020 13:00,25.028,42711.4,
333,7/31/2020 14:00,25.513,23422.4,
334,7/31/2020 15:00,25.708,22044.6,
335,7/31/2020 16:00,25.902,31689.1,
336,7/31/2020 17:00,25.708,24800.2,
337,7/31/2020 18:00,25.222,33066.9,
338,7/31/2020 19:00,24.545,1550,
339,7/31/2020 20:00,24.545,667.4,
340,7/31/2020 21:00,24.351,0,
341,7/31/2020 22:00,24.158,0,
342,7/31/2020 23:00,23.966,0,
343,8/1/2020 0:00,23.773,0,
344,8/1/2020 1:00,23.581,0,
345,8/1/2020 2:00,23.388,0,
346,8/1/2020 3:00,23.196,0,
347,8/1/2020 4:00,23.1,0,
348,8/1/2020 5:00,22.908,0,
349,8/1/2020 6:00,22.717,53.8,
350,8/1/2020 7:00,22.621,1636.1,
351,8/1/2020 8:00,22.812,7577.8,
352,8/1/2020 9:00,23.292,14466.8,
353,8/1/2020 10:00,23.677,24800.2,
354,8/1/2020 11:00,24.255,22044.6,
355,8/1/2020 12:00,24.835,30311.3,
356,8/1/2020 13:00,25.222,55111.5,
357,8/1/2020 14:00,25.513,35822.5,
358,8/1/2020 15:00,25.319,27555.7,
359,8/1/2020 16:00,25.708,46844.8,
360,8/1/2020 17:00,25.61,44089.2,
361,8/1/2020 18:00,25.319,9300.1,
362,8/1/2020 19:00,24.255,1636.1,
363,8/1/2020 20:00,24.255,764.2,
364,8/1/2020 21:00,24.255,0,
365,8/1/2020 22:00,24.062,0,
366,8/1/2020 23:00,23.869,0,
367,8/2/2020 0:00,23.773,0,
368,8/2/2020 1:00,23.581,0,
369,8/2/2020 2:00,23.388,0,
370,8/2/2020 3:00,23.292,0,
371,8/2/2020 4:00,23.1,0,
372,8/2/2020 5:00,22.908,0,
373,8/2/2020 6:00,22.717,64.6,
374,8/2/2020 7:00,22.717,1270.1,
375,8/2/2020 8:00,22.908,7233.4,
376,8/2/2020 9:00,23.292,12400.1,
377,8/2/2020 10:00,23.773,33066.9,
