date_time,temp_C,intensity_lux
7/28/2020 13:00,25.125,52355.9
7/28/2020 14:00,25.416,15155.7
7/28/2020 15:00,25.416,31689.1
7/28/2020 16:00,24.545,7577.8
7/28/2020 17:00,25.513,11022.3
7/28/2020 18:00,25.319,8266.7
7/28/2020 19:00,24.351,2152.8
7/28/2020 20:00,24.448,807.3
7/28/2020 21:00,24.255,0
7/28/2020 22:00,24.545,0
7/28/2020 23:00,24.351,0
7/29/2020 0:00,24.158,0
7/29/2020 1:00,23.966,0
7/29/2020 2:00,23.773,0
7/29/2020 3:00,23.677,0
7/29/2020 4:00,23.484,0
7/29/2020 5:00,23.292,0
7/29/2020 6:00,23.196,118.4
7/29/2020 7:00,23.1,1345.5
7/29/2020 8:00,23.388,8266.7
7/29/2020 9:00,23.677,17911.2
7/29/2020 10:00,24.158,14466.8
7/29/2020 11:00,24.641,37200.2
7/29/2020 12:00,25.028,49600.3
7/29/2020 13:00,25.61,44089.2
7/29/2020 14:00,25.708,52355.9
7/29/2020 15:00,25.708,34444.7
7/29/2020 16:00,26.195,38578
7/29/2020 17:00,26.097,66133.8
7/29/2020 18:00,25.61,5166.7
7/29/2020 19:00,24.835,1550
7/29/2020 20:00,24.931,764.2
7/29/2020 21:00,24.835,0
7/29/2020 22:00,24.641,0
7/29/2020 23:00,24.448,0
7/30/2020 0:00,24.158,0
7/30/2020 1:00,23.966,0
7/30/2020 2:00,23.773,0
7/30/2020 3:00,23.581,0
7/30/2020 4:00,23.388,0
7/30/2020 5:00,23.196,0
7/30/2020 6:00,23.004,96.9
7/30/2020 7:00,22.908,1097.9
7/30/2020 8:00,23.196,8266.7
7/30/2020 9:00,23.581,12400.1
7/30/2020 10:00,24.062,57867
7/30/2020 11:00,24.448,37200.2
7/30/2020 12:00,24.931,34444.7
7/30/2020 13:00,25.319,31689.1
7/30/2020 14:00,25.319,66133.8
7/30/2020 15:00,25.513,20666.8
7/30/2020 16:00,25.902,28933.5
7/30/2020 17:00,25.902,20666.8
7/30/2020 18:00,25.61,12400.1
7/30/2020 19:00,24.738,1377.8
7/30/2020 20:00,24.641,721.2
7/30/2020 21:00,24.448,0
7/30/2020 22:00,24.158,0
7/30/2020 23:00,23.966,0
7/31/2020 0:00,23.773,0
7/31/2020 1:00,23.581,0
7/31/2020 2:00,23.484,0
7/31/2020 3:00,23.292,0
7/31/2020 4:00,23.1,0
7/31/2020 5:00,22.908,0
7/31/2020 6:00,22.717,96.9
7/31/2020 7:00,22.621,1076.4
7/31/2020 8:00,22.908,8266.7
7/31/2020 9:00,23.292,18600.1
7/31/2020 10:00,23.773,28933.5
7/31/2020 11:00,24.255,12400.1
7/31/2020 12:00,24.641,42711.4
7/31/2020 13:00,25.028,42711.4
7/31/2020 14:00,25.513,23422.4
7/31/2020 15:00,25.708,22044.6
7/31/2020 16:00,25.902,31689.1
7/31/2020 17:00,25.708,24800.2
7/31/2020 18:00,25.222,33066.9
7/31/2020 19:00,24.545,1550
7/31/2020 20:00,24.545,667.4
7/31/2020 21:00,24.351,0
7/31/2020 22:00,24.158,0
7/31/2020 23:00,23.966,0
8/1/2020 0:00,23.773,0
8/1/2020 1:00,23.581,0
8/1/2020 2:00,23.388,0
8/1/2020 3:00,23.196,0
8/1/2020 4:00,23.1,0
8/1/2020 5:00,22.908,0
8/1/2020 6:00,22.717,53.8
8/1/2020 7:00,22.621,1636.1
8/1/2020 8:00,22.812,7577.8
8/1/2020 9:00,23.292,14466.8
8/1/2020 10:00,23.677,24800.2
8/1/2020 11:00,24.255,22044.6
8/1/2020 12:00,24.835,30311.3
8/1/2020 13:00,25.222,55111.5
8/1/2020 14:00,25.513,35822.5
8/1/2020 15:00,25.319,27555.7
8/1/2020 16:00,25.708,46844.8
8/1/2020 17:00,25.61,44089.2
8/1/2020 18:00,25.319,9300.1
8/1/2020 19:00,24.255,1636.1
8/1/2020 20:00,24.255,764.2
8/1/2020 21:00,24.255,0
8/1/2020 22:00,24.062,0
8/1/2020 23:00,23.869,0
8/2/2020 0:00,23.773,0
8/2/2020 1:00,23.581,0
8/2/2020 2:00,23.388,0
8/2/2020 3:00,23.292,0
8/2/2020 4:00,23.1,0
8/2/2020 5:00,22.908,0
8/2/2020 6:00,22.717,64.6
8/2/2020 7:00,22.717,1270.1
8/2/2020 8:00,22.908,7233.4
8/2/2020 9:00,23.292,12400.1
8/2/2020 10:00,23.773,33066.9
8/2/2020 11:00,24.255,21355.7
8/2/2020 12:00,24.835,115734.1
8/2/2020 13:00,25.028,23422.4
8/2/2020 14:00,25.319,41333.6
8/2/2020 15:00,25.61,198401.3
8/2/2020 16:00,25.708,26178
8/2/2020 17:00,25.61,24800.2
8/2/2020 18:00,25.125,10677.8
8/2/2020 19:00,24.545,2669.5
8/2/2020 20:00,24.545,850.4
8/2/2020 21:00,24.255,0
8/2/2020 22:00,24.062,0
8/2/2020 23:00,23.869,0
8/3/2020 0:00,23.677,0
8/3/2020 1:00,23.581,0
8/3/2020 2:00,23.388,0
8/3/2020 3:00,23.196,0
8/3/2020 4:00,23.004,0
8/3/2020 5:00,22.908,0
8/3/2020 6:00,22.717,53.8
8/3/2020 7:00,22.621,1377.8
8/3/2020 8:00,22.908,7233.4
8/3/2020 9:00,23.292,17222.3
8/3/2020 10:00,23.677,27555.7
8/3/2020 11:00,24.158,33066.9
8/3/2020 12:00,24.835,49600.3
8/3/2020 13:00,25.319,104711.8
8/3/2020 14:00,25.708,44089.2
8/3/2020 15:00,25.319,42711.4
8/3/2020 16:00,25.708,33066.9
8/3/2020 17:00,25.708,63378.2
8/3/2020 18:00,25.319,9644.5
8/3/2020 19:00,24.351,1636.1
8/3/2020 20:00,24.255,699.7
8/3/2020 21:00,24.158,0
8/3/2020 22:00,24.158,0
8/3/2020 23:00,24.062,0
8/4/2020 0:00,23.869,0
8/4/2020 1:00,23.677,0
8/4/2020 2:00,23.484,0
8/4/2020 3:00,23.292,0
8/4/2020 4:00,23.196,0
8/4/2020 5:00,23.004,0
8/4/2020 6:00,22.812,43.1
8/4/2020 7:00,22.717,1184
8/4/2020 8:00,23.004,5166.7
8/4/2020 9:00,23.484,17911.2
8/4/2020 10:00,23.966,23422.4
8/4/2020 11:00,24.545,31689.1
8/4/2020 12:00,24.738,44089.2
8/4/2020 13:00,25.319,37200.2
8/4/2020 14:00,25.513,11022.3
8/4/2020 15:00,25.513,39955.8
8/4/2020 16:00,26,38578
8/4/2020 17:00,25.805,39955.8
8/4/2020 18:00,25.513,6200
8/4/2020 19:00,24.448,1463.9
8/4/2020 20:00,24.448,602.8
8/4/2020 21:00,24.255,0
8/4/2020 22:00,24.255,0
8/4/2020 23:00,24.255,0
8/5/2020 0:00,24.158,0
8/5/2020 1:00,23.966,0
8/5/2020 2:00,23.773,0
8/5/2020 3:00,23.581,0
8/5/2020 4:00,23.388,0
8/5/2020 5:00,23.196,0
8/5/2020 6:00,23.1,32.3
8/5/2020 7:00,23.004,1097.9
8/5/2020 8:00,23.292,6544.5
8/5/2020 9:00,23.773,57867
8/5/2020 10:00,23.773,19977.9
8/5/2020 11:00,24.738,20666.8
8/5/2020 12:00,25.319,34444.7
8/5/2020 13:00,25.61,46844.8
8/5/2020 14:00,25.513,74400.5
8/5/2020 15:00,24.931,8611.2
8/5/2020 16:00,25.028,13777.9
8/5/2020 17:00,24.351,2927.8
8/5/2020 18:00,24.931,8266.7
8/5/2020 19:00,24.545,4477.8
8/5/2020 20:00,24.448,635.1
8/5/2020 21:00,24.158,0
8/5/2020 22:00,23.966,0
8/5/2020 23:00,23.869,0
8/6/2020 0:00,23.677,0
8/6/2020 1:00,23.484,0
8/6/2020 2:00,23.388,0
8/6/2020 3:00,23.196,0
8/6/2020 4:00,23.004,0
8/6/2020 5:00,22.812,0
8/6/2020 6:00,22.717,32.3
8/6/2020 7:00,22.621,1313.2
8/6/2020 8:00,22.908,6544.5
8/6/2020 9:00,23.196,11022.3
8/6/2020 10:00,23.773,20666.8
8/6/2020 11:00,23.581,42711.4
8/6/2020 12:00,24.448,37200.2
8/6/2020 13:00,24.641,38578
8/6/2020 14:00,25.319,55111.5
8/6/2020 15:00,24.641,14466.8
8/6/2020 16:00,23.677,8611.2
8/6/2020 17:00,23.388,3100
8/6/2020 18:00,23.581,6200
8/6/2020 19:00,23.388,1894.5
8/6/2020 20:00,23.1,592
8/6/2020 21:00,22.908,0
8/6/2020 22:00,22.812,0
8/6/2020 23:00,22.717,0
8/7/2020 0:00,22.621,0
8/7/2020 1:00,22.525,0
8/7/2020 2:00,22.333,0
8/7/2020 3:00,22.142,0
8/7/2020 4:00,22.046,0
8/7/2020 5:00,21.855,0
8/7/2020 6:00,21.664,21.5
8/7/2020 7:00,21.569,1087.2
8/7/2020 8:00,21.855,6544.5
