lake,date_time,temp_c,depth
cedar,2021-09-04T14:00:00Z,18.747,2m
cedar,2021-09-04T15:00:00Z,19.294,2m
cedar,2021-09-04T16:00:00Z,19.555,2m
cedar,2021-09-04T17:00:00Z,20.055,2m
cedar,2021-09-04T18:00:00Z,20.055,2m
cedar,2021-09-04T19:00:00Z,19.888,2m
cedar,2021-09-04T20:00:00Z,19.555,2m
cedar,2021-09-04T21:00:00Z,19.222,2m
cedar,2021-09-04T22:00:00Z,18.961,2m
cedar,2021-09-04T23:00:00Z,18.723,2m
cedar,2021-09-05T00:00:00Z,18.58,2m
cedar,2021-09-05T01:00:00Z,18.414,2m
cedar,2021-09-05T02:00:00Z,18.247,2m
cedar,2021-09-05T03:00:00Z,18.081,2m
cedar,2021-09-05T04:00:00Z,17.962,2m
cedar,2021-09-05T05:00:00Z,17.867,2m
cedar,2021-09-05T06:00:00Z,17.724,2m
cedar,2021-09-05T07:00:00Z,17.629,2m
cedar,2021-09-05T08:00:00Z,17.51,2m
cedar,2021-09-05T09:00:00Z,17.629,2m
cedar,2021-09-05T10:00:00Z,17.748,2m
cedar,2021-09-05T11:00:00Z,17.891,2m
cedar,2021-09-05T12:00:00Z,18.129,2m
cedar,2021-09-05T13:00:00Z,18.675,2m
cedar,2021-09-05T14:00:00Z,18.937,2m
cedar,2021-09-05T15:00:00Z,19.436,2m
cedar,2021-09-05T16:00:00Z,20.031,2m
cedar,2021-09-05T17:00:00Z,19.912,2m
cedar,2021-09-05T18:00:00Z,20.293,2m
cedar,2021-09-05T19:00:00Z,20.222,2m
cedar,2021-09-05T20:00:00Z,19.841,2m
cedar,2021-09-05T21:00:00Z,19.555,2m
cedar,2021-09-05T22:00:00Z,19.27,2m
cedar,2021-09-05T23:00:00Z,19.056,2m
cedar,2021-09-06T00:00:00Z,18.842,2m
cedar,2021-09-06T01:00:00Z,18.675,2m
cedar,2021-09-06T02:00:00Z,18.509,2m
cedar,2021-09-06T03:00:00Z,18.343,2m
cedar,2021-09-06T04:00:00Z,18.247,2m
cedar,2021-09-06T05:00:00Z,18.105,2m
cedar,2021-09-06T06:00:00Z,17.986,2m
