lake,date,temp_03.8,temp_04.6,temp_08.4,temp_13.4,temp_18.4,temp_23.3,temp_24.3,temp_sediment,do_mg_l,do_sat,light_3.8,cond_24.3,level_4.6
cliff,2019-09-12,18.82225,18.108416666666667,14.907833333333333,8.149166666666666,5.967208333333333,5.052,4.568333333333333,4.949166666666667,0.0875,0.8506034166666667,4423.0875000000005,15.483333333333333,119.73029166666666
cliff,2019-09-13,18.834125,18.144291666666668,15.038375,8.178333333333333,5.985291666666667,5.0397083333333335,4.566666666666666,4.96325,0.08729166666666666,0.84830725,4035.5916666666667,15.6,119.63683333333333
cliff,2019-09-14,18.90533333333333,18.176041666666666,15.179833333333333,8.195875,6.005583333333333,5.059875,4.578749999999999,4.973,0.08708333333333333,0.8467222083333333,4205.5625,15.6,119.32966666666667
cliff,2019-09-15,18.6875,18.033208333333334,15.312166666666666,8.218666666666667,6.018291666666666,5.098083333333333,4.595833333333333,4.973,0.09899999999999999,0.9636615416666666,4110.933333333333,15.6625,118.684875
cliff,2019-09-16,18.073,17.56191666666667,15.748791666666667,8.238666666666667,6.014,5.100666666666666,4.610416666666667,4.973,0.08883333333333333,0.864653875,2190.025,15.75,118.78795833333334
cliff,2019-09-17,17.494416666666666,16.963,16.618666666666666,8.249041666666667,6.024666666666667,5.099291666666667,4.596666666666667,4.973,0.08729166666666666,0.8496170416666666,2725.079166666667,15.7625,119.09666666666666
cliff,2019-09-18,16.831958333333333,16.375625,16.351791666666667,8.260458333333334,6.029958333333333,5.1117083333333335,4.605833333333333,4.973,0.08708333333333333,0.8478622083333334,1345.05,15.916666666666668,118.95691666666667
cliff,2019-09-19,16.5065,15.978583333333333,15.9815,8.264666666666667,6.031166666666667,5.095041666666667,4.6,4.9816666666666665,0.087125,0.8479036666666667,2386.454166666667,15.9,119.265125
cliff,2019-09-20,16.371541666666666,15.700083333333334,15.688125,8.281083333333333,6.032125,5.106833333333333,4.60625,4.997916666666667,0.087125,0.848163125,3420.6916666666666,15.895833333333334,119.49404166666666
cliff,2019-09-21,16.284125,15.596541666666667,15.593708333333334,8.30075,6.03325,5.118708333333333,4.614583333333333,4.999,0.08704166666666666,0.8476130416666666,3670.0583333333334,16.1375,119.58608333333333
cliff,2019-09-22,15.970541666666666,15.552916666666667,15.566,8.319416666666667,6.037458333333333,5.105,4.60875,4.999,0.08716666666666666,0.8485263333333334,980.4166666666666,16.220833333333335,119.35554166666667
cliff,2019-09-23,15.978083333333332,15.290166666666666,15.284541666666668,8.334875,6.050125,5.098,4.61125,4.999,0.08725,0.849185125,3883.0958333333333,16.316666666666666,119.80691666666667
