lake,date,temp_03.8,temp_04.6,temp_06.1,temp_08.4,temp_13.4,temp_18.4,temp_23.3,temp_24.3,temp_sediment,do_mg_l,do_sat,light_3.8,cond_24.3,level_4.6
cliff,2020-08-22,21.875333333333334,21.4055,21.35575,16.163166666666665,8.045,5.91925,5.129166666666666,5.067916666666667,4.982749999999999,0.13720833333333335,1.3373065,2549.2708333333335,9.266666666666666,118.682375
cliff,2020-08-23,21.803541666666668,21.353916666666667,21.312083333333334,16.217833333333335,8.052291666666667,5.9310833333333335,5.13875,5.080416666666666,4.999,0.21391666666666667,2.08616075,2348.3333333333335,9.570833333333333,118.63233333333334
cliff,2020-08-24,21.608583333333332,21.250416666666666,21.241541666666667,16.277416666666667,8.080416666666666,5.936333333333334,5.14,5.075833333333334,4.999,0.13870833333333332,1.35230075,1396.175,9.766666666666667,118.564875
cliff,2020-08-25,21.548875,21.107333333333333,21.07241666666667,16.404458333333334,8.0877083333333335,5.939583333333333,5.13375,5.07625,4.999,0.121375,1.183163,2394.0875,10.154166666666667,118.447125
cliff,2020-08-26,21.449333333333335,21.039583333333333,21.007958333333335,16.471,8.116875,5.953375,5.153291666666666,5.09375,4.999,0.17704166666666665,1.7271144166666665,1879.65,9.65,118.30566666666667
cliff,2020-08-27,21.369708333333335,20.952333333333332,20.918583333333334,16.577125,8.136666666666667,5.9587916666666665,5.1625,5.105416666666667,5.0021249999999995,0.09579166666666666,0.9340123333333333,2127.225,9.725,118.33983333333333
cliff,2020-08-28,21.369875,20.884833333333333,20.836125,16.710958333333334,8.17,5.974833333333334,5.151666666666666,5.0975,5.020875,0.09670833333333333,0.942989,2556.8875,10.508333333333333,118.44025
cliff,2020-08-29,21.38575,20.90075,20.857958333333332,16.797416666666667,8.189791666666666,5.98325,5.155833333333334,5.099166666666666,5.024,0.07979166666666666,0.7778525833333333,2549.258333333333,10.379166666666666,118.41241666666667
cliff,2020-08-30,21.377875,20.888791666666666,20.83725,16.935208333333332,8.21675,5.992791666666666,5.162916666666667,5.102083333333333,5.024,0.08029166666666666,0.7828644166666666,2790.1083333333336,10.2625,118.42141666666667
cliff,2020-08-31,21.326125,20.845166666666668,20.793333333333333,17.085875,8.241708333333333,5.99175,5.16875,5.115,5.024,0.08562499999999999,0.835095625,2894.1625,10.216666666666667,118.40579166666667
cliff,2020-09-01,21.326166666666666,20.829333333333334,20.769541666666665,17.213,8.262458333333333,6.00025,5.177833333333333,5.118333333333333,5.025083333333333,0.10233333333333333,0.9987715833333334,2521.4541666666664,10.491666666666667,118.67829166666667
cliff,2020-09-02,21.39375,20.904666666666667,20.830375,17.403125,8.302958333333333,6.01725,5.1786666666666665,5.120416666666666,5.0305,0.07604166666666666,0.7416918333333333,2325.9166666666665,10.5,118.73675
cliff,2020-09-03,21.493125,21.011875,20.939458333333334,17.532041666666668,8.311125,6.031041666666667,5.192458333333334,5.135416666666667,5.048916666666667,0.07629166666666666,0.744379875,2685.6124999999997,10.154166666666667,118.71883333333334
cliff,2020-09-04,21.54083333333333,21.123083333333334,21.059458333333335,17.660916666666665,8.341166666666666,6.038458333333334,5.220541666666667,5.1570833333333335,5.05,0.12783333333333333,1.2492432083333334,1983.7125,9.754166666666666,118.65525
cliff,2020-09-05,21.441291666666668,20.988083333333332,20.961125,17.772791666666667,8.3755,6.0597916666666665,5.213125,5.159583333333333,5.05,0.093375,0.9119940416666666,2208.858333333333,9.983333333333333,118.85025
cliff,2020-09-06,21.393583333333332,20.984125,20.953166666666668,17.823416666666667,8.384708333333334,6.0535,5.217625,5.159166666666667,5.051083333333333,0.08825,0.861945875,1749.1458333333333,10.425,118.959
cliff,2020-09-07,21.473208333333332,21.007916666666667,20.973208333333336,17.933416666666666,8.416,6.054416666666667,5.219416666666667,5.159583333333334,5.065166666666666,0.07345833333333333,0.7172069583333334,2242.0375,10.508333333333333,118.43416666666667
