"Plot Title: gumboot_2m"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20732847, SEN S/N: 20732847)","GDD, DDc (LGR S/N: 20732847)"
189,06/27/20 02:00:00 PM,23.208,
190,06/27/20 03:00:00 PM,23.040,
191,06/27/20 04:00:00 PM,23.136,
192,06/27/20 05:00:00 PM,23.665,
193,06/27/20 06:00:00 PM,23.448,
194,06/27/20 07:00:00 PM,23.376,
195,06/27/20 08:00:00 PM,23.593,
196,06/27/20 09:00:00 PM,23.400,
197,06/27/20 10:00:00 PM,23.545,
198,06/27/20 11:00:00 PM,23.376,
199,06/28/20 12:00:00 AM,23.472,
200,06/28/20 01:00:00 AM,23.400,
201,06/28/20 02:00:00 AM,23.280,
202,06/28/20 03:00:00 AM,22.920,
203,06/28/20 04:00:00 AM,22.681,
204,06/28/20 05:00:00 AM,22.537,
205,06/28/20 06:00:00 AM,22.274,
206,06/28/20 07:00:00 AM,22.011,
207,06/28/20 08:00:00 AM,22.034,
208,06/28/20 09:00:00 AM,21.963,
209,06/28/20 10:00:00 AM,22.011,
210,06/28/20 11:00:00 AM,21.867,
211,06/28/20 12:00:00 PM,22.082,12.314
212,06/28/20 01:00:00 PM,22.178,
213,06/28/20 02:00:00 PM,22.178,
214,06/28/20 03:00:00 PM,22.441,
215,06/28/20 04:00:00 PM,22.585,
216,06/28/20 05:00:00 PM,22.753,
217,06/28/20 06:00:00 PM,23.040,
218,06/28/20 07:00:00 PM,22.944,
219,06/28/20 08:00:00 PM,22.800,
220,06/28/20 09:00:00 PM,22.537,
221,06/28/20 10:00:00 PM,22.250,
222,06/28/20 11:00:00 PM,22.034,
223,06/29/20 12:00:00 AM,21.843,
224,06/29/20 01:00:00 AM,21.652,
225,06/29/20 02:00:00 AM,21.461,
226,06/29/20 03:00:00 AM,21.175,
227,06/29/20 04:00:00 AM,20.984,
228,06/29/20 05:00:00 AM,20.722,
229,06/29/20 06:00:00 AM,20.531,
230,06/29/20 07:00:00 AM,20.365,
231,06/29/20 08:00:00 AM,20.174,
232,06/29/20 09:00:00 AM,20.198,
233,06/29/20 10:00:00 AM,20.317,
234,06/29/20 11:00:00 AM,20.365,
235,06/29/20 12:00:00 PM,20.531,13.322
236,06/29/20 01:00:00 PM,20.817,
237,06/29/20 02:00:00 PM,20.913,
238,06/29/20 03:00:00 PM,20.865,
239,06/29/20 04:00:00 PM,21.032,
240,06/29/20 05:00:00 PM,21.199,
241,06/29/20 06:00:00 PM,21.294,
242,06/29/20 07:00:00 PM,21.437,
243,06/29/20 08:00:00 PM,21.246,
244,06/29/20 09:00:00 PM,21.199,
245,06/29/20 10:00:00 PM,21.318,
246,06/29/20 11:00:00 PM,21.270,
247,06/30/20 12:00:00 AM,21.127,
248,06/30/20 01:00:00 AM,20.984,
249,06/30/20 02:00:00 AM,20.793,
250,06/30/20 03:00:00 AM,20.579,
251,06/30/20 04:00:00 AM,20.460,
252,06/30/20 05:00:00 AM,20.269,
253,06/30/20 06:00:00 AM,20.103,
254,06/30/20 07:00:00 AM,19.912,
255,06/30/20 08:00:00 AM,19.817,
256,06/30/20 09:00:00 AM,19.722,
257,06/30/20 10:00:00 AM,19.817,
258,06/30/20 11:00:00 AM,19.888,
259,06/30/20 12:00:00 PM,19.912,13.886
260,06/30/20 01:00:00 PM,20.031,
261,06/30/20 02:00:00 PM,20.269,
262,06/30/20 03:00:00 PM,20.341,
263,06/30/20 04:00:00 PM,20.484,
264,06/30/20 05:00:00 PM,20.484,
265,06/30/20 06:00:00 PM,20.555,
266,06/30/20 07:00:00 PM,20.650,
267,06/30/20 08:00:00 PM,20.650,
268,06/30/20 09:00:00 PM,20.674,
269,06/30/20 10:00:00 PM,20.722,
270,06/30/20 11:00:00 PM,20.627,
271,07/01/20 12:00:00 AM,20.579,
272,07/01/20 01:00:00 AM,20.650,
273,07/01/20 02:00:00 AM,20.531,
274,07/01/20 03:00:00 AM,20.603,
275,07/01/20 04:00:00 AM,20.388,
276,07/01/20 05:00:00 AM,20.293,
277,07/01/20 06:00:00 AM,20.222,
278,07/01/20 07:00:00 AM,20.031,
279,07/01/20 08:00:00 AM,19.960,
280,07/01/20 09:00:00 AM,19.984,
281,07/01/20 10:00:00 AM,20.007,
282,07/01/20 11:00:00 AM,20.031,
283,07/01/20 12:00:00 PM,20.079,14.342
284,07/01/20 01:00:00 PM,20.341,
285,07/01/20 02:00:00 PM,20.412,
286,07/01/20 03:00:00 PM,20.507,
287,07/01/20 04:00:00 PM,20.722,
288,07/01/20 05:00:00 PM,20.817,
289,07/01/20 06:00:00 PM,20.603,
290,07/01/20 07:00:00 PM,20.722,
291,07/01/20 08:00:00 PM,20.889,
292,07/01/20 09:00:00 PM,20.913,
293,07/01/20 10:00:00 PM,20.817,
294,07/01/20 11:00:00 PM,20.770,
295,07/02/20 12:00:00 AM,20.817,
296,07/02/20 01:00:00 AM,20.889,
297,07/02/20 02:00:00 AM,20.746,
298,07/02/20 03:00:00 AM,20.579,
299,07/02/20 04:00:00 AM,20.412,
300,07/02/20 05:00:00 AM,20.317,
301,07/02/20 06:00:00 AM,20.150,
302,07/02/20 07:00:00 AM,20.007,
303,07/02/20 08:00:00 AM,19.912,
304,07/02/20 09:00:00 AM,19.912,
305,07/02/20 10:00:00 AM,19.984,
306,07/02/20 11:00:00 AM,19.984,
307,07/02/20 12:00:00 PM,20.150,14.786
308,07/02/20 01:00:00 PM,20.198,
309,07/02/20 02:00:00 PM,20.293,
310,07/02/20 03:00:00 PM,20.436,
311,07/02/20 04:00:00 PM,20.722,
312,07/02/20 05:00:00 PM,20.698,
313,07/02/20 06:00:00 PM,20.746,
314,07/02/20 07:00:00 PM,20.793,
315,07/02/20 08:00:00 PM,20.746,
316,07/02/20 09:00:00 PM,20.746,
317,07/02/20 10:00:00 PM,20.722,
318,07/02/20 11:00:00 PM,20.793,
319,07/03/20 12:00:00 AM,20.722,
320,07/03/20 01:00:00 AM,20.698,
321,07/03/20 02:00:00 AM,20.722,
322,07/03/20 03:00:00 AM,20.674,
323,07/03/20 04:00:00 AM,20.555,
324,07/03/20 05:00:00 AM,20.412,
325,07/03/20 06:00:00 AM,20.365,
326,07/03/20 07:00:00 AM,20.174,
327,07/03/20 08:00:00 AM,20.198,
328,07/03/20 09:00:00 AM,20.174,
329,07/03/20 10:00:00 AM,20.198,
330,07/03/20 11:00:00 AM,20.293,
331,07/03/20 12:00:00 PM,20.412,15.520
332,07/03/20 01:00:00 PM,20.555,
333,07/03/20 02:00:00 PM,20.674,
334,07/03/20 03:00:00 PM,20.817,
335,07/03/20 04:00:00 PM,20.960,
336,07/03/20 05:00:00 PM,21.294,
337,07/03/20 06:00:00 PM,20.936,
338,07/03/20 07:00:00 PM,21.056,
339,07/03/20 08:00:00 PM,21.223,
340,07/03/20 09:00:00 PM,21.199,
341,07/03/20 10:00:00 PM,20.984,
342,07/03/20 11:00:00 PM,21.175,
